,Year,State,Grade,State_GPA,Gun_Death_Rate
0,2020,Alabama,F,0.0,22.17
1,2020,Alaska,F,0.0,24.49
2,2020,Arizona,F,0.0,15.05
3,2020,Arkansas,F,0.0,19.26
4,2020,California,A,4.0,7.21
5,2020,Colorado,C+,2.3,14.22
6,2020,Connecticut,A-,3.7,5.3
7,2020,Delaware,B,3.0,9.97
8,2020,Florida,C-,1.7,12.67
9,2020,Georgia,F,0.0,15.78
10,2020,Hawaii,A-,3.7,4.46
11,2020,Idaho,F,0.0,14.16
12,2020,Illinois,A-,3.7,10.8
13,2020,Indiana,D,1.0,14.0
14,2020,Iowa,C,2.0,9.09
15,2020,Kansas,F,0.0,13.69
16,2020,Kentucky,F,0.0,14.91
17,2020,Louisiana,F,0.0,22.13
18,2020,Maine,F,0.0,11.44
19,2020,Maryland,A-,3.7,12.56
20,2020,Massachusetts,A-,3.7,3.39
21,2020,Michigan,C,2.0,12.04
22,2020,Minnesota,C+,2.3,8.12
23,2020,Mississippi,F,0.0,24.23
24,2020,Missouri,F,0.0,20.52
25,2020,Montana,F,0.0,18.93
26,2020,Nebraska,C,2.0,10.22
27,2020,Nevada,C+,2.3,15.3
28,2020,New Hampshire,F,0.0,10.54
29,2020,New Jersey,A,4.0,4.13
30,2020,New Mexico,C+,2.3,22.27
31,2020,New York,A-,3.7,3.91
32,2020,North Carolina,D,1.0,13.06
33,2020,North Dakota,F,0.0,12.55
34,2020,Ohio,D,1.0,13.32
35,2020,Oklahoma,F,0.0,18.58
36,2020,Oregon,C+,2.3,12.5
37,2020,Pennsylvania,C+,2.3,11.65
38,2020,Rhode Island,B+,3.3,4.59
39,2020,South Carolina,F,0.0,19.8
40,2020,South Dakota,F,0.0,13.04
41,2020,Tennessee,D-,0.7,18.34
42,2020,Texas,F,0.0,12.64
43,2020,Utah,D,1.0,12.8
44,2020,Vermont,C-,1.7,9.37
45,2020,Virginia,B,3.0,11.65
46,2020,Washington,B+,3.3,10.7
47,2020,West Virginia,F,0.0,16.62
48,2020,Wisconsin,C-,1.7,10.04
49,2020,Wyoming,F,0.0,22.47
